topic,regression_label_binary,standard,structure,concept,conclusion_standard,conclusion_structure,conclusion_concept,summary_standard,summary_structure,summary_concept,sentence_1_len,sentence_2_len,combined_len,bin
Hydroelectric dams,0,0.14,0.175,0.14,0.095,0.11,0.095,0.171,0.114,0.114,118,132,250,200-250
Hydroelectric dams,1,0.286,0.169,0.508,0.043,0.153,0.085,0.13,0.101,0.217,120,132,252,250-300
Hydroelectric dams,1,0.159,0.138,0.286,0.103,0.139,0.103,0.324,0.265,0.471,92,164,256,250-300
Hydroelectric dams,1,0.231,0.145,0.385,0.118,0.203,0.157,0.138,0.115,0.241,152,163,315,300-400
Hydroelectric dams,1,0.225,0.178,0.352,0.254,0.241,0.476,0.231,0.231,0.308,132,167,299,250-300
Hydroelectric dams,1,0.207,0.126,0.345,0.217,0.173,0.478,0.179,0.19,0.25,118,152,270,250-300
Hydroelectric dams,0,0.206,0.157,0.265,0.085,0.125,0.085,0.244,0.211,0.341,107,130,237,200-250
Hydroelectric dams,0,0.337,0.233,0.554,0.122,0.138,0.082,0.295,0.209,0.474,154,151,305,300-400
Hydroelectric dams,1,0.222,0.204,0.306,0.25,0.202,0.45,0.161,0.14,0.194,152,164,316,300-400
Hydroelectric dams,1,0.154,0.115,0.192,0.133,0.211,0.222,0.136,0.091,0.182,114,152,266,250-300
Hydroelectric dams,0,0.127,0.116,0.254,0.097,0.171,0.097,0.157,0.17,0.235,132,141,273,250-300
Hydroelectric dams,1,0.214,0.155,0.429,0.217,0.22,0.391,0.24,0.16,0.48,98,142,240,200-250
Hydroelectric dams,0,0.232,0.175,0.421,0.182,0.15,0.409,0.25,0.187,0.438,151,179,330,300-400
Hydroelectric dams,0,0.192,0.192,0.192,0.226,0.224,0.302,0.114,0.171,0.171,98,139,237,200-250
Hydroelectric dams,0,0.196,0.17,0.353,0.087,0.151,0.13,0.222,0.13,0.333,101,148,249,200-250
Hydroelectric dams,1,0.209,0.129,0.448,0.182,0.187,0.255,0.185,0.154,0.369,136,149,285,250-300
Hydroelectric dams,0,0.233,0.171,0.442,0.237,0.22,0.373,0.355,0.269,0.613,154,179,333,300-400
Hydroelectric dams,1,0.225,0.175,0.45,0.15,0.196,0.35,0.226,0.161,0.452,120,179,299,250-300
Hydroelectric dams,0,0.24,0.213,0.32,0.133,0.121,0.222,0.333,0.278,0.5,139,119,258,250-300
Hydroelectric dams,1,0.194,0.194,0.452,0.24,0.245,0.4,0.295,0.208,0.557,124,154,278,250-300
Hydroelectric dams,1,0.192,0.167,0.308,0.148,0.168,0.074,0.292,0.243,0.521,87,160,247,200-250
Hydroelectric dams,1,0.152,0.131,0.333,0.549,0.438,1.098,0.222,0.198,0.259,135,163,298,250-300
Hydroelectric dams,1,0.263,0.211,0.421,0.3,0.259,0.5,0.227,0.167,0.409,87,91,178,100-200
Hydroelectric dams,1,0.194,0.157,0.278,0.163,0.196,0.286,0.226,0.201,0.34,118,163,281,250-300
Hydroelectric dams,0,0.14,0.14,0.175,0.2,0.18,0.3,0.105,0.14,0.14,120,98,218,200-250
Hydroelectric dams,0,0.314,0.248,0.629,0.14,0.151,0.14,0.226,0.161,0.419,141,142,283,250-300
Hydroelectric dams,0,0.269,0.209,0.507,0.259,0.257,0.352,0.32,0.24,0.6,86,150,236,200-250
Hydroelectric dams,0,0.205,0.231,0.256,0.31,0.286,0.517,0.143,0.171,0.229,135,150,285,250-300
Hydroelectric dams,1,0.2,0.143,0.343,0.143,0.183,0.25,0.187,0.177,0.375,129,149,278,250-300
Hydroelectric dams,1,0.185,0.164,0.215,0.314,0.292,0.471,0.24,0.213,0.32,98,167,265,250-300
Hydroelectric dams,0,0.197,0.142,0.262,0.259,0.241,0.407,0.189,0.164,0.264,103,189,292,250-300
Hydroelectric dams,1,0.3,0.267,0.4,0.091,0.118,0.091,0.158,0.123,0.263,101,115,216,200-250
Hydroelectric dams,0,0.237,0.124,0.339,0.19,0.206,0.381,0.185,0.185,0.296,124,137,261,250-300
Hydroelectric dams,1,0.16,0.12,0.24,0.222,0.194,0.259,0.318,0.227,0.545,66,130,196,100-200
Hydroelectric dams,0,0.19,0.254,0.222,0.25,0.202,0.45,0.286,0.259,0.408,160,152,312,300-400
Hydroelectric dams,1,0.32,0.222,0.48,0.258,0.215,0.387,0.211,0.164,0.456,160,164,324,300-400
Hydroelectric dams,1,0.233,0.202,0.419,1.0,0.667,2.0,0.207,0.161,0.483,104,139,243,200-250
Hydroelectric dams,0,0.136,0.136,0.136,0.043,0.12,0.085,0.136,0.136,0.136,131,175,306,300-400
Hydroelectric dams,1,0.175,0.14,0.246,0.143,0.223,0.143,0.361,0.295,0.623,87,142,229,200-250
Hydroelectric dams,1,0.197,0.186,0.426,0.128,0.118,0.213,0.4,0.333,0.6,91,161,252,250-300
Hydroelectric dams,0,0.267,0.231,0.4,0.308,0.298,0.385,0.353,0.301,0.51,98,179,277,250-300
Hydroelectric dams,0,0.29,0.215,0.452,0.289,0.26,0.431,0.279,0.264,0.512,141,144,285,250-300
Hydroelectric dams,0,0.304,0.275,0.543,0.148,0.166,0.111,0.247,0.206,0.543,151,147,298,250-300
Hydroelectric dams,1,0.27,0.198,0.486,0.206,0.219,0.294,0.333,0.244,0.6,66,110,176,100-200
Hydroelectric dams,0,0.368,0.298,0.579,0.194,0.172,0.323,0.457,0.381,0.8,66,86,152,100-200
Hydroelectric dams,0,0.156,0.121,0.26,0.195,0.141,0.39,0.226,0.151,0.355,155,150,305,300-400
Hydroelectric dams,1,0.303,0.141,0.606,0.154,0.142,0.115,0.371,0.253,0.726,91,147,238,200-250
Hydroelectric dams,1,0.381,0.286,0.762,0.118,0.147,0.118,0.286,0.171,0.629,86,114,200,100-200
Hydroelectric dams,0,0.145,0.126,0.174,0.043,0.122,0.043,0.145,0.109,0.145,113,131,244,200-250
Hydroelectric dams,1,0.175,0.175,0.14,0.222,0.204,0.267,0.182,0.182,0.145,124,128,252,250-300
Hydroelectric dams,0,0.207,0.161,0.414,0.121,0.19,0.121,0.255,0.156,0.426,141,136,277,250-300
Hydroelectric dams,0,0.119,0.119,0.09,0.092,0.18,0.123,0.105,0.105,0.14,136,132,268,250-300
Hydroelectric dams,0,0.23,0.175,0.328,0.667,0.448,1.333,0.264,0.214,0.415,144,129,273,250-300
Hydroelectric dams,1,0.23,0.131,0.508,0.146,0.125,0.244,0.211,0.164,0.544,120,129,249,200-250
Hydroelectric dams,0,0.171,0.154,0.268,0.089,0.111,0.089,0.222,0.198,0.296,137,142,279,250-300
Hydroelectric dams,1,0.218,0.192,0.397,0.118,0.163,0.118,0.211,0.123,0.298,149,170,319,300-400
Hydroelectric dams,0,0.143,0.143,0.2,1.0,0.679,1.963,0.143,0.119,0.214,132,129,261,250-300
Hydroelectric dams,1,0.237,0.215,0.407,0.085,0.149,0.128,0.133,0.067,0.133,139,132,271,250-300
Hydroelectric dams,1,0.245,0.15,0.408,0.177,0.192,0.317,0.174,0.174,0.261,86,135,221,200-250
Hydroelectric dams,0,0.25,0.185,0.306,0.169,0.185,0.271,0.14,0.14,0.14,173,148,321,300-400
Hydroelectric dams,0,0.296,0.222,0.593,0.077,0.173,0.077,0.171,0.133,0.286,139,136,275,250-300
Hydroelectric dams,1,0.152,0.138,0.196,0.205,0.185,0.308,0.296,0.272,0.37,91,98,189,100-200
Hydroelectric dams,0,0.123,0.164,0.246,0.192,0.193,0.269,0.122,0.082,0.204,137,144,281,250-300
Hydroelectric dams,1,0.189,0.09,0.243,0.127,0.189,0.222,0.277,0.236,0.462,134,155,289,250-300
Hydroelectric dams,1,0.214,0.167,0.357,0.133,0.152,0.133,0.19,0.159,0.333,115,160,275,250-300
Hydroelectric dams,0,0.171,0.13,0.244,0.129,0.157,0.129,0.16,0.196,0.24,149,174,323,300-400
Hydroelectric dams,0,0.194,0.151,0.29,0.164,0.178,0.328,0.178,0.163,0.356,66,163,229,200-250
Hydroelectric dams,0,0.185,0.185,0.308,0.146,0.183,0.146,0.339,0.271,0.576,98,142,240,200-250
Hydroelectric dams,0,0.071,0.083,0.214,0.136,0.123,0.091,0.158,0.175,0.316,124,144,268,250-300
Hydroelectric dams,0,0.25,0.205,0.409,0.051,0.117,0.103,0.27,0.234,0.378,153,180,333,300-400
Hydroelectric dams,0,0.189,0.144,0.35,0.175,0.192,0.246,0.125,0.125,0.125,144,137,281,250-300
Hydroelectric dams,0,0.246,0.211,0.281,0.164,0.204,0.295,0.233,0.202,0.372,106,148,254,250-300
Hydroelectric dams,1,0.292,0.25,0.458,0.533,0.326,1.156,0.118,0.078,0.235,104,139,243,200-250
Hydroelectric dams,1,0.235,0.183,0.392,0.095,0.124,0.048,0.25,0.222,0.417,91,141,232,200-250
Hydroelectric dams,0,0.175,0.152,0.316,0.189,0.172,0.34,0.213,0.184,0.383,98,144,242,200-250
Hydroelectric dams,1,0.192,0.115,0.346,0.128,0.153,0.128,0.14,0.14,0.14,91,132,223,200-250
Hydroelectric dams,1,0.2,0.133,0.45,0.197,0.178,0.295,0.263,0.14,0.579,66,108,174,100-200
Hydroelectric dams,1,0.328,0.273,0.689,0.172,0.166,0.241,0.267,0.237,0.356,132,141,273,250-300
Hydroelectric dams,0,0.229,0.143,0.4,0.263,0.176,0.579,0.386,0.316,0.596,104,179,283,250-300
Hydroelectric dams,0,0.197,0.153,0.328,0.138,0.207,0.172,0.207,0.149,0.345,93,141,234,200-250
Hydroelectric dams,1,0.143,0.171,0.2,0.108,0.216,0.108,0.161,0.172,0.258,142,149,291,250-300
Hydroelectric dams,1,0.107,0.071,0.179,0.233,0.211,0.419,0.118,0.118,0.118,124,160,284,250-300
Hydroelectric dams,1,0.28,0.173,0.573,0.138,0.141,0.241,0.185,0.16,0.389,141,147,288,250-300
Hydroelectric dams,1,0.27,0.144,0.595,0.089,0.15,0.089,0.486,0.378,0.865,66,87,153,100-200
Hydroelectric dams,0,0.356,0.267,0.622,0.286,0.246,0.476,0.25,0.194,0.417,87,139,226,200-250
Hydroelectric dams,1,0.346,0.28,0.543,0.12,0.102,0.12,0.25,0.274,0.429,128,179,307,300-400
Hydroelectric dams,0,0.136,0.102,0.169,0.061,0.075,0.061,0.15,0.15,0.15,114,115,229,200-250
Hydroelectric dams,0,0.237,0.167,0.395,0.2,0.196,0.4,0.154,0.154,0.256,139,179,318,300-400
Hydroelectric dams,1,0.314,0.209,0.706,1.0,0.667,2.0,0.373,0.249,0.78,91,120,211,200-250
Hydroelectric dams,1,0.2,0.16,0.36,0.115,0.163,0.154,0.185,0.16,0.37,140,147,287,250-300
Hydrogen fuel cells,1,0.247,0.137,0.521,0.182,0.176,0.327,0.157,0.105,0.392,135,157,292,250-300
Hydrogen fuel cells,0,0.372,0.279,0.698,0.109,0.166,0.109,0.364,0.26,0.727,179,163,342,300-400
Hydrogen fuel cells,0,0.169,0.088,0.313,0.239,0.208,0.358,0.115,0.115,0.192,158,188,346,300-400
Hydrogen fuel cells,1,0.212,0.202,0.485,0.19,0.171,0.317,0.196,0.144,0.431,158,135,293,250-300
Hydrogen fuel cells,1,0.338,0.251,0.545,0.14,0.156,0.14,0.214,0.167,0.357,139,147,286,250-300
Hydrogen fuel cells,1,0.278,0.219,0.658,0.102,0.121,0.169,0.343,0.286,0.629,135,163,298,250-300
Hydrogen fuel cells,0,0.185,0.154,0.215,0.071,0.168,0.143,0.163,0.122,0.163,144,144,288,250-300
Hydrogen fuel cells,0,0.286,0.2,0.457,0.133,0.153,0.133,0.278,0.278,0.5,118,131,249,200-250
Hydrogen fuel cells,1,0.165,0.18,0.376,0.148,0.134,0.222,0.241,0.195,0.379,139,136,275,250-300
Hydrogen fuel cells,0,0.269,0.219,0.448,0.185,0.18,0.222,0.304,0.246,0.478,123,157,280,250-300
Hydrogen fuel cells,1,0.295,0.218,0.547,0.238,0.181,0.429,0.301,0.228,0.521,131,188,319,300-400
Hydrogen fuel cells,1,0.315,0.217,0.562,0.205,0.23,0.205,0.182,0.19,0.364,144,151,295,250-300
Hydrogen fuel cells,0,0.214,0.19,0.286,0.308,0.282,0.5,0.259,0.21,0.444,125,141,266,250-300
Hydrogen fuel cells,0,0.167,0.143,0.357,0.154,0.189,0.308,0.2,0.167,0.333,152,188,340,300-400
Hydrogen fuel cells,0,0.253,0.203,0.506,0.109,0.176,0.327,0.299,0.219,0.597,135,179,314,300-400
Hydrogen fuel cells,0,0.226,0.201,0.302,0.113,0.153,0.151,0.182,0.136,0.136,80,125,205,200-250
Hydrogen fuel cells,0,0.147,0.186,0.235,0.295,0.29,0.393,0.207,0.207,0.276,117,141,258,250-300
Hydrogen fuel cells,0,0.182,0.192,0.394,0.189,0.218,0.302,0.255,0.182,0.473,148,146,294,250-300
Hydrogen fuel cells,1,0.177,0.16,0.278,0.154,0.167,0.154,0.194,0.204,0.355,136,139,275,250-300
Hydrogen fuel cells,0,0.121,0.091,0.152,0.143,0.178,0.214,0.077,0.077,0.077,88,179,267,250-300
Hydrogen fuel cells,1,0.161,0.204,0.226,0.085,0.167,0.128,0.14,0.109,0.279,108,154,262,250-300
Hydrogen fuel cells,0,0.268,0.187,0.463,0.178,0.214,0.267,0.351,0.234,0.73,163,161,324,300-400
Hydrogen fuel cells,1,0.448,0.356,0.759,0.129,0.212,0.097,0.407,0.358,0.704,70,146,216,200-250
Hydrogen fuel cells,0,0.254,0.178,0.479,0.089,0.174,0.089,0.118,0.069,0.206,89,142,231,200-250
Hydrogen fuel cells,0,0.297,0.243,0.459,0.107,0.154,0.143,0.185,0.16,0.407,139,158,297,250-300
Hydrogen fuel cells,1,0.253,0.211,0.456,0.203,0.265,0.232,0.4,0.297,0.708,139,139,278,250-300
Hydrogen fuel cells,0,0.193,0.153,0.193,0.28,0.247,0.36,0.103,0.069,0.103,137,144,281,250-300
Hydrogen fuel cells,0,0.088,0.147,0.118,0.174,0.193,0.13,0.12,0.16,0.16,124,187,311,300-400
Hydrogen fuel cells,0,0.182,0.182,0.145,0.25,0.222,0.417,0.226,0.204,0.29,125,119,244,200-250
Hydrogen fuel cells,1,0.216,0.162,0.405,0.227,0.223,0.318,0.25,0.194,0.458,123,151,274,250-300
Hydrogen fuel cells,1,0.189,0.171,0.324,0.316,0.264,0.526,0.214,0.19,0.25,158,187,345,300-400
Hydrogen fuel cells,0,0.164,0.155,0.356,0.257,0.238,0.343,0.25,0.194,0.472,123,163,286,250-300
Hydrogen fuel cells,0,0.297,0.243,0.486,0.235,0.246,0.471,0.273,0.273,0.455,139,117,256,250-300
Hydrogen fuel cells,0,0.312,0.229,0.563,0.218,0.197,0.436,0.31,0.218,0.586,70,179,249,200-250
Hydrogen fuel cells,1,0.259,0.173,0.494,0.182,0.197,0.091,0.268,0.179,0.585,131,163,294,250-300
Hydrogen fuel cells,0,0.25,0.194,0.438,0.2,0.195,0.32,0.235,0.186,0.382,179,188,367,300-400
Hydrogen fuel cells,0,0.296,0.247,0.617,0.29,0.275,0.516,0.388,0.289,0.746,147,161,308,300-400
Hydrogen fuel cells,0,0.261,0.251,0.406,0.158,0.192,0.158,0.31,0.264,0.448,116,129,245,200-250
Hydrogen fuel cells,0,0.209,0.129,0.388,0.14,0.154,0.14,0.344,0.281,0.594,118,161,279,250-300
Hydrogen fuel cells,0,0.412,0.294,0.765,0.351,0.29,0.649,0.392,0.275,0.784,120,139,259,250-300
Hydrogen fuel cells,1,0.301,0.247,0.466,0.14,0.118,0.14,0.286,0.277,0.416,131,152,283,250-300
Hydrogen fuel cells,1,0.258,0.194,0.452,0.194,0.199,0.226,0.247,0.21,0.493,89,139,228,200-250
Hydrogen fuel cells,0,0.192,0.077,0.115,0.222,0.243,0.222,0.107,0.083,0.179,124,119,243,200-250
Hydrogen fuel cells,0,0.286,0.204,0.531,0.08,0.109,0.16,0.279,0.217,0.465,98,105,203,200-250
Hydrogen fuel cells,1,0.275,0.225,0.4,0.109,0.139,0.109,0.185,0.113,0.308,135,187,322,300-400
Hydrogen fuel cells,1,0.27,0.234,0.378,0.296,0.274,0.444,0.242,0.202,0.455,152,179,331,300-400
Hydrogen fuel cells,0,0.143,0.179,0.161,0.2,0.177,0.15,0.107,0.107,0.107,78,128,206,200-250
Hydrogen fuel cells,0,0.063,0.095,0.095,0.304,0.248,0.478,0.074,0.074,0.074,101,178,279,250-300
Hydrogen fuel cells,0,0.184,0.149,0.421,0.23,0.256,0.59,0.26,0.19,0.494,121,163,284,250-300
Hydrogen fuel cells,1,0.182,0.136,0.318,0.195,0.205,0.195,0.167,0.144,0.233,151,187,338,300-400
Hydrogen fuel cells,0,0.087,0.087,0.087,0.102,0.195,0.102,0.074,0.074,0.111,95,103,198,100-200
Hydrogen fuel cells,1,0.197,0.207,0.254,0.107,0.189,0.107,0.151,0.126,0.226,146,154,300,250-300
Hydrogen fuel cells,0,0.212,0.182,0.364,0.185,0.208,0.259,0.293,0.276,0.533,89,161,250,200-250
Hydrogen fuel cells,1,0.261,0.184,0.377,0.267,0.258,0.467,0.197,0.131,0.394,95,152,247,200-250
Hydrogen fuel cells,0,0.247,0.219,0.493,0.158,0.201,0.105,0.267,0.237,0.533,118,144,262,250-300
Hydrogen fuel cells,0,0.217,0.145,0.361,0.174,0.195,0.174,0.275,0.222,0.431,136,163,299,250-300
Hydrogen fuel cells,0,0.206,0.167,0.324,0.229,0.203,0.343,0.34,0.156,0.511,98,151,249,200-250
Hydrogen fuel cells,1,0.235,0.167,0.382,0.0,0.095,0.053,0.188,0.146,0.312,89,136,225,200-250
Hydrogen fuel cells,1,0.129,0.086,0.258,0.133,0.125,0.222,0.174,0.116,0.348,70,136,206,200-250
Hydrogen fuel cells,1,0.227,0.199,0.351,0.212,0.215,0.242,0.188,0.135,0.281,139,188,327,300-400
Hydrogen fuel cells,0,0.29,0.217,0.565,0.113,0.137,0.151,0.217,0.188,0.391,105,151,256,250-300
Hydrogen fuel cells,0,0.257,0.2,0.429,0.125,0.16,0.083,0.246,0.215,0.462,89,179,268,250-300
Hydrogen fuel cells,0,0.278,0.194,0.472,0.108,0.188,0.108,0.259,0.185,0.481,118,151,269,250-300
Hydrogen fuel cells,1,0.345,0.238,0.713,0.226,0.254,0.34,0.333,0.222,0.619,144,147,291,250-300
Hydrogen fuel cells,1,0.229,0.219,0.486,0.29,0.297,0.548,0.351,0.216,0.649,117,152,269,250-300
Hydrogen fuel cells,0,0.098,0.098,0.131,0.195,0.157,0.293,0.095,0.048,0.048,93,180,273,250-300
Hydrogen fuel cells,0,0.254,0.19,0.317,0.151,0.184,0.113,0.08,0.12,0.12,124,161,285,250-300
Hydrogen fuel cells,1,0.225,0.178,0.507,0.308,0.261,0.513,0.316,0.219,0.579,89,187,276,250-300
Hydrogen fuel cells,1,0.258,0.194,0.516,0.15,0.176,0.15,0.25,0.153,0.417,148,158,306,300-400
Hydrogen fuel cells,0,0.161,0.172,0.226,0.182,0.178,0.273,0.122,0.122,0.204,118,154,272,250-300
Hydrogen fuel cells,0,0.125,0.133,0.275,0.204,0.19,0.286,0.125,0.097,0.208,184,163,347,300-400
Hydrogen fuel cells,1,0.31,0.254,0.479,0.19,0.159,0.286,0.222,0.13,0.333,131,141,272,250-300
Hydrogen fuel cells,0,0.143,0.214,0.143,0.196,0.188,0.275,0.171,0.114,0.171,123,125,248,200-250
Hydrogen fuel cells,1,0.278,0.222,0.5,0.161,0.172,0.226,0.277,0.205,0.554,139,146,285,250-300
Hydrogen fuel cells,1,0.176,0.137,0.353,0.145,0.201,0.218,0.204,0.19,0.408,109,151,260,250-300
Hydrogen fuel cells,1,0.708,0.503,1.323,0.091,0.138,0.091,0.231,0.154,0.462,108,146,254,250-300
Hydrogen fuel cells,1,0.234,0.199,0.39,0.37,0.341,0.519,0.1,0.111,0.2,154,163,317,300-400
Hydrogen fuel cells,1,0.273,0.212,0.53,0.114,0.139,0.114,0.273,0.188,0.564,118,184,302,300-400
Hydrogen fuel cells,0,0.197,0.197,0.451,0.158,0.205,0.158,0.281,0.211,0.491,136,123,259,250-300
Hydrogen fuel cells,0,0.105,0.105,0.105,0.245,0.274,0.327,0.121,0.121,0.121,59,85,144,100-200
Hydrogen fuel cells,1,0.177,0.169,0.304,0.133,0.167,0.133,0.213,0.156,0.383,136,184,320,300-400
Hydrogen fuel cells,0,0.176,0.118,0.412,0.07,0.132,0.105,0.172,0.138,0.379,105,179,284,250-300
Hydrogen fuel cells,1,0.567,0.367,1.233,0.657,0.476,1.229,0.528,0.352,1.132,109,154,263,250-300
Hydrogen fuel cells,0,0.156,0.125,0.125,0.28,0.231,0.44,0.15,0.1,0.1,154,184,338,300-400
Hydrogen fuel cells,0,0.205,0.214,0.359,0.14,0.271,0.211,0.254,0.212,0.381,139,146,285,250-300
Hydrogen fuel cells,0,0.25,0.194,0.389,0.259,0.223,0.407,0.255,0.156,0.426,145,118,263,250-300
Hydrogen fuel cells,1,0.296,0.247,0.444,0.1,0.226,0.25,0.271,0.203,0.475,179,184,363,300-400
Hydrogen fuel cells,1,0.308,0.222,0.564,0.327,0.331,0.408,0.225,0.15,0.423,120,144,264,250-300
Hydrogen fuel cells,0,0.22,0.195,0.463,0.154,0.148,0.115,0.31,0.235,0.648,179,161,340,300-400
Hydrogen fuel cells,0,0.253,0.184,0.368,0.359,0.285,0.667,0.25,0.194,0.417,179,187,366,300-400
Hydrogen fuel cells,0,0.195,0.154,0.39,0.254,0.228,0.286,0.289,0.209,0.53,117,163,280,250-300
Hydrogen fuel cells,0,0.158,0.149,0.289,0.214,0.234,0.143,0.169,0.147,0.237,136,187,323,300-400
Hydrogen fuel cells,1,0.25,0.176,0.472,0.267,0.236,0.489,0.28,0.229,0.538,89,144,233,200-250
Hydrogen fuel cells,0,0.203,0.174,0.377,0.065,0.106,0.065,0.25,0.179,0.464,118,136,254,250-300
Hydrogen fuel cells,1,0.372,0.287,0.535,0.091,0.119,0.091,0.213,0.16,0.373,131,139,270,250-300
Hydrogen fuel cells,1,0.525,0.415,0.885,0.138,0.181,0.138,0.316,0.222,0.632,148,141,289,250-300
Hydrogen fuel cells,0,0.175,0.158,0.275,0.148,0.154,0.111,0.157,0.131,0.235,142,154,296,250-300
Hydrogen fuel cells,0,0.222,0.148,0.407,0.116,0.189,0.116,0.2,0.133,0.4,70,120,190,100-200
Hydrogen fuel cells,0,0.271,0.203,0.475,0.122,0.186,0.204,0.372,0.279,0.651,70,184,254,250-300
Hydrogen fuel cells,0,0.145,0.085,0.218,0.157,0.145,0.235,0.111,0.111,0.111,93,130,223,200-250
Hydrogen fuel cells,1,0.235,0.206,0.324,0.145,0.171,0.109,0.271,0.215,0.339,148,135,283,250-300
Hydrogen fuel cells,1,0.235,0.147,0.412,0.361,0.31,0.528,0.148,0.099,0.333,95,123,218,200-250
Hydrogen fuel cells,0,0.417,0.287,0.806,0.2,0.184,0.5,0.264,0.214,0.528,120,161,281,250-300
Hydrogen fuel cells,0,0.312,0.271,0.5,0.222,0.178,0.148,0.286,0.231,0.449,117,136,253,250-300
Hydrogen fuel cells,1,0.225,0.18,0.404,0.203,0.196,0.319,0.19,0.159,0.381,135,188,323,300-400
Hydrogen fuel cells,1,0.328,0.219,0.582,0.148,0.131,0.222,0.189,0.145,0.396,105,147,252,250-300
Hydrogen fuel cells,0,0.261,0.184,0.551,0.207,0.177,0.276,0.406,0.28,0.754,89,147,236,200-250
Hydrogen fuel cells,0,0.254,0.19,0.444,0.145,0.152,0.218,0.246,0.205,0.431,118,139,257,250-300
Hydrogen fuel cells,0,0.128,0.128,0.085,0.231,0.235,0.231,0.114,0.114,0.114,105,122,227,200-250
Hydrogen fuel cells,0,0.2,0.15,0.425,0.125,0.16,0.083,0.19,0.095,0.349,163,157,320,300-400
Hydrogen fuel cells,1,0.345,0.276,0.621,0.107,0.102,0.071,0.346,0.244,0.654,118,123,241,200-250
Hydrogen fuel cells,1,0.351,0.288,0.568,0.143,0.175,0.143,0.319,0.28,0.551,131,148,279,250-300
Hydrogen fuel cells,0,0.375,0.26,0.703,0.102,0.128,0.102,0.4,0.297,0.782,105,161,266,250-300
Hydrogen fuel cells,0,0.227,0.197,0.455,0.222,0.263,0.222,0.27,0.225,0.517,144,179,323,300-400
Hydrogen fuel cells,1,0.275,0.242,0.425,0.113,0.148,0.169,0.254,0.201,0.603,139,135,274,250-300
Hydrogen fuel cells,1,0.25,0.202,0.393,0.185,0.154,0.333,0.233,0.211,0.333,89,123,212,200-250
Hydrogen fuel cells,0,0.163,0.109,0.302,0.237,0.231,0.339,0.118,0.108,0.265,121,188,309,300-400
Hydrogen fuel cells,0,0.071,0.071,0.071,0.053,0.188,0.053,0.037,0.037,0.037,101,128,229,200-250
Hydrogen fuel cells,1,0.244,0.179,0.439,0.08,0.192,0.12,0.286,0.199,0.597,144,146,290,250-300
Hydrogen fuel cells,0,0.187,0.151,0.347,0.311,0.308,0.4,0.238,0.175,0.429,144,123,267,250-300
Hydrogen fuel cells,1,0.254,0.169,0.479,0.184,0.224,0.263,0.258,0.258,0.613,139,135,274,250-300
Hydrogen fuel cells,1,0.237,0.219,0.342,0.125,0.148,0.125,0.226,0.183,0.355,148,187,335,300-400
Hydrogen fuel cells,0,0.291,0.218,0.509,0.186,0.194,0.279,0.394,0.291,0.62,118,89,207,200-250
Hydrogen fuel cells,1,0.246,0.205,0.492,0.188,0.212,0.281,0.161,0.101,0.339,70,139,209,200-250
Hydrogen fuel cells,1,0.292,0.255,0.494,0.222,0.133,0.222,0.322,0.245,0.506,144,187,331,300-400
Hydrogen fuel cells,0,0.136,0.182,0.136,0.227,0.215,0.364,0.12,0.08,0.12,108,118,226,200-250
Hydrogen fuel cells,0,0.194,0.204,0.222,0.093,0.158,0.186,0.059,0.059,0.059,154,184,338,300-400
Hydrogen fuel cells,0,0.382,0.255,0.676,0.405,0.372,0.649,0.392,0.275,0.784,121,139,260,250-300
Hydrogen fuel cells,0,0.179,0.143,0.143,0.12,0.174,0.12,0.125,0.125,0.125,82,126,208,200-250
Hydrogen fuel cells,0,0.16,0.16,0.267,0.19,0.261,0.222,0.143,0.181,0.171,139,152,291,250-300
Internet of things,1,0.25,0.205,0.386,0.108,0.148,0.108,0.206,0.127,0.294,137,163,300,250-300
Internet of things,1,0.272,0.222,0.519,0.167,0.193,0.167,0.212,0.172,0.394,174,187,361,300-400
Internet of things,0,0.208,0.165,0.234,0.118,0.135,0.176,0.203,0.203,0.237,105,190,295,250-300
Internet of things,0,0.156,0.188,0.219,0.195,0.172,0.341,0.105,0.105,0.105,118,149,267,250-300
Internet of things,0,0.229,0.21,0.286,0.305,0.295,0.441,0.233,0.178,0.267,116,140,256,250-300
Internet of things,0,0.194,0.172,0.258,0.25,0.263,0.2,0.2,0.144,0.233,90,149,239,200-250
Internet of things,1,0.263,0.158,0.526,0.267,0.224,0.467,0.269,0.192,0.538,138,174,312,300-400
Internet of things,1,0.231,0.179,0.487,0.265,0.269,0.382,0.254,0.212,0.444,118,137,255,250-300
Internet of things,0,0.267,0.156,0.4,0.273,0.273,0.273,0.364,0.303,0.545,66,71,137,100-200
Internet of things,0,0.208,0.153,0.361,0.279,0.288,0.372,0.226,0.208,0.321,173,111,284,250-300
Internet of things,0,0.11,0.091,0.164,0.129,0.159,0.161,0.085,0.085,0.085,137,141,278,250-300
Internet of things,1,0.26,0.199,0.416,0.111,0.165,0.074,0.273,0.212,0.424,174,163,337,300-400
Internet of things,0,0.103,0.111,0.179,0.25,0.256,0.417,0.069,0.103,0.103,141,154,295,250-300
Internet of things,0,0.098,0.098,0.164,0.163,0.191,0.245,0.095,0.063,0.19,142,141,283,250-300
Internet of things,1,0.174,0.155,0.29,0.259,0.263,0.333,0.148,0.132,0.198,128,136,264,250-300
Internet of things,0,0.206,0.216,0.353,0.083,0.16,0.25,0.049,0.049,0.049,177,191,368,300-400
