,sentence_1,sentence_2
1857,"more connected devices enabling more services. smart houses, smart cars, and even smarter people are all possible","aaron carroll: the internet of everything will provide richer experiences, new capabilities. he says"
1858,Nest thermostat lets homeowners control heat from virtually anywhere. users can also control temperature via their smartphones or tablets if they,"he says the internet of everything will provide richer experiences, new capabilities. iot will also provide"
1859,"Io T is helping automotive companies to optimize production operations, efficiently manage inventory and grow sales.",the Internet of Things may have a significant impact on healthcare.
1860,"value drivers include innovation, employee productivity, asset utilization, customer experience, and supply chain.","the Internet of Things connects millions of devices and extends intelligence to utilities, city leaders and consumers."
1861,commercial recycling haulers often require minimum quantities and charge a fee.,hydroelectric power is a forerunner that must be considered for commercial and home use.
1862,Nest thermostat lets homeowners control heat from virtually anywhere via smartphones.,integration of social networks and Io Ts has the potential to support novel applications.
1863,"""Internet of Things"" opens up a vast new array of opportunity for carriers, entrepreneurs. bob greene",Having the ability to remotely monitor and control which devices are on and off at any certain time helps homeowners reduce monthly electric
1864,"if you act quickly, you could be among the savvy investors who enjoy the profits.",delay gives marketers a chance to optimize the Internet of Things.
1865,"more connected devices are enabling more services. smart houses, smart cars, and even smarter people are all possible","billions of devices will be monitoring the environment, transportation systems, factories, farms, forests, utilities, soil and weather"
1866,Home Internet technology continues to transform the Internet in ways we can hardly imagine.,Having the ability to remotely monitor and control which devices are on and off at any certain time helps homeowners reduce monthly electric
1867,Nest thermostat lets homeowners control heat from virtually anywhere. users can also control temperature via their smartphones via a web browser,the All...Internet of Things (Io T) seeks to merge physical and virtual worlds creating '
1868,delay gives marketers a chance to optimize the Internet of Things.,"a remote control helps homeowners reduce monthly electric, gas and water bills."
1869,Internet of Things will enable new services that will make our lives safer and more secure.,the Internet of Things will involve ubiquitous smart objects that sense and communicate directly over the internet. smart devices will create better
1870,the Internet of Things will involve ubiquitous smart objects that sense and communicate directly over the internet creating better data.,Having the ability to remotely monitor and control which devices are on and off at any certain time helps homeowners reduce monthly electric
1871,the Internet of Agents would allow you to activate your alarm system through your smartphone.,"""Internet of Things"" promises to help federal agencies generate efficiencies. but it also raises significant cybersecurity concerns"
1872,"No. No, no.",animal testing seems to be a must in the field of medicines. cdc: animal tests are not
1873,"Io T can improve various aspects of manufacturing efficiency, including productivity, asset health, profitability, quality, safety and employee","""Internet of Things"" opens up a vast new array of opportunity for carriers, entrepreneurs. sally"
1874,"more connected devices are enabling more services. we're imagining smart houses, smart cars, and even","""Internet of Things"" promises to help federal agencies generate efficiencies. but it also raises significant cybersecurity concerns"
1875,the All...Internet of Things (Io T) seeks to merge physical and virtual worlds creating ',Internet of Agents would allow you to activate your alarm system through smartphone.
1876,"Io T is helping leading chemical companies optimize equipment effectiveness. it helps reduce cost of quality control and compliance, and","health providers could use clinical data to predict disease, reduce hospital visits. data could also be used to make better use"
1877,"if you act quickly, you could be among the savvy investors who enjoy the profits.",we can contact our beloved persons easily using the online sites.
1878,Internet of Agents lets you unlock your car when you lock your keys in the trunk.,"people will be able to better manage factories, airports, hospitals, homes. this information will let people better"
1879,"Io T is helping leading chemical companies optimize equipment effectiveness. it helps reduce cost of quality control and compliance, and","""Internet of Things"" promises to help federal agencies generate efficiencies. but it also raises significant cybersecurity concerns"
1880,Home Internet technology continues to transform the Internet in ways we can hardly imagine.,"Io T is helping leading chemical companies optimize equipment effectiveness. it helps reduce cost of quality control and compliance, and"
1881,consumers discover that they can control their appliances in a way that saves energy.,integration of social networks and Io Ts has the potential to support novel applications.
1882,delay gives marketers a chance to optimize the Internet of Things.,Internet of Agents would allow you to activate your alarm system through your smartphone.
1883,"health providers could use clinical data to predict disease, reduce hospital visits. data could also be used to make better use","a remote control helps homeowners reduce monthly electric, gas and water bills."
1884,blind voters can vote without assistance. these systems have audio hookups allowing them to do so.,45% of social logins on facebook.
1885,Objects are then enabled to take actions that presumably create a more efficient existence.,the Internet of Things will involve ubiquitous smart objects that sense and communicate directly over the internet.
1886,"value drivers include innovation, employee productivity, asset utilization, customer experience, and supply chain.","health providers could use clinical data to predict disease, reduce hospital visits. data could also be used to make better use"
1887,"internet of things can improve lives, but save them, says nicolaus mills. he says","thanks to the internet, your identity can be stolen, home invaded and savings robbed."
1888,"people will be able to better manage factories, airports, hospitals, homes. this information will let people better",Internet of Things will enable new services that will make our lives safer and more secure.
1889,"value drivers include innovation, employee productivity, asset utilization, customer experience, and supply chain.",Internet of Things will enable new services that will make our lives safer and more secure.
1890,"internet of things can improve lives, but save them, says aaron carroll. he says it",Internet of Things will enable new services that will make our lives safer and more secure.
1891,"Io T can improve various aspects of manufacturing efficiency, including productivity. asset health, profitability, quality, safety,",Lora WAN transmits small packages of data over long distance. low energy and money cost means it can be
1892,"billions of interconnected devices will be monitoring the environment, transportation systems, factories, farms, forests, utilities, soil",integration of social networks and Io Ts has the potential to support novel applications.
1893,Internet of Agents lets you unlock your car when you lock your keys in the trunk.,Internet of Things will enable new services that will make our lives safer and more secure.
1894,"value drivers include innovation, employee productivity, asset utilization, customer experience, and supply chain.",integration of social networks and Io Ts has potential to support novel applications and networking services.
1895,"bob greene: FCC likely unlawful means of broadband Internet regulation, i.e.","genassist provides a type of ""one-stop"" shopping for genetic services. GEN"
1896,"he says the internet of everything will provide richer experiences, new capabilities. it will also provide unprecedented economic opportunity",Having the ability to remotely monitor and control which devices are on and off at any certain time helps homeowners reduce monthly electric
1897,the Internet of Things will involve ubiquitous smart objects that sense and communicate directly over the internet creating better data without human intervention,Lora WAN transmits small packages of data over long distance. low energy and money cost means it can be
1898,Nest thermostat lets homeowners control heat from virtually anywhere. users can also control temperature via their smartphones and tablets or computers,the Internet of Things will involve ubiquitous smart objects that sense and communicate directly over the internet creating better data without human intervention
1899,"Io T is helping automotive companies to optimize production operations, efficiently manage inventory and grow sales.","the Internet of Things connects millions of devices and extends intelligence to utilities, city leaders and consumers."
1900,the Internet of Things will involve ubiquitous smart objects that sense and communicate directly over the internet creating better data without human intervention,"health providers could use clinical data to predict disease, reduce hospital visits. data could also be used to make better use"
1901,"internet of things is just around the corner, and it will definitely provide exciting opportunities and challenges.",delay gives marketers a chance to optimize the Internet of Things.
1902,"device may provide the means to create three-dimensional cell cultures for the development of therapeutic drugs, for instance.","EPA says 2012 estimates are based on ""reasonably attainable"" amount of biofuels."
1903,"internet of things can improve lives, but save them, says bob greene. he says it can also",Lora WAN transmits small packages of data over long distance. low energy and money cost means it can be
1904,Io T is helping automotive companies to optimize production operations. it helps companies efficiently manage inventory and grow sales -,delay gives marketers a chance to optimize the Internet of Things.
1905,Nest thermostat lets homeowners control heat from virtually anywhere. users can also control temperature via their smartphones or tablets based on,Lora WAN transmits small packages of data over long distance. low energy and money cost means it can be
1906,Home Internet technology continues to transform the Internet in ways we can hardly imagine.,"the Internet of Things connects millions of devices and extends intelligence to utilities, city leaders and consumers."
1907,Internet of Agents lets you unlock your car when you lock your keys in the trunk.,"the Internet of Things connects millions of devices and extends intelligence to utilities, city leaders and consumers."
1908,the All...Internet of Things (Io T) seeks to merge physical and virtual worlds creating ',Internet of Things will enable new services that will make our lives safer and more secure.
1909,Internet of Things will enable new services that will make our lives safer and more secure.,"physical items are no longer disconnected from the virtual world, but can be controlled remotely."
1910,we can contact our beloved persons easily using the online sites.,julian zelizer: social networks and Io Ts can support novel applications and networking services.
1911,"Io T can improve various aspects of manufacturing efficiency, including productivity, asset health, profitability, quality, safety and employee",Internet of Things will enable new services that will make our lives safer and more secure.
1912,consumers discover that they can control their appliances in a way that saves energy.,"Io T can improve various aspects of manufacturing efficiency, including productivity, asset health, profitability, quality, safety and employee"
1913,"health providers could use clinical data to predict disease, reduce hospital visits. for example, a patient's blood","""Internet of Things"" promises to help agencies generate efficiencies, achieve missions. but it also raises significant cybersecurity"
1914,Internet of Agents lets you unlock your car when you lock your keys in the trunk.,"billions of devices will be monitoring the environment, transportation systems, factories, farms, forests, utilities, soil and weather"
1915,"fracking waste exempt from federal hazardous waste laws, leaving Ohio even more vulnerable. industry lobbyists get",natural oil seeps are inevitable while offshore oil drilling accidents can be prevented.
1916,"Io T is helping leading chemical companies optimize equipment effectiveness. it helps reduce cost of quality control and compliance, and",bob greene: we can build the world we want to live in or we could do what's easy
1917,Home Internet technology continues to transform the Internet in ways we can hardly imagine.,"billions of devices will be monitoring the environment, transportation systems, factories, farms, forests, utilities, soil and weather"
1918,"Io T is helping leading chemical companies optimize equipment effectiveness. it helps reduce cost of quality control and compliance, and",Internet of Things may have a significant impact on healthcare.
1919,"health providers could use clinical data to predict disease, reduce hospital visits. data could also be used to make better use",the internet of agents would enable you to activate your alarm system through your smartphone.
1920,Io T is helping automotive companies to optimize production operations. it helps companies efficiently manage inventory and grow sales -,Internet of Agents lets you unlock your car when you lock your keys in the trunk.
1921,the All...Internet of Things (Io T) seeks to merge physical and virtual worlds creating ',"billions of devices will be monitoring the environment, transportation systems, factories, farms, forests, utilities, soil and weather"
1922,"if you act quickly, you could be among the savvy investors who enjoy the profits.","thanks to the internet, your identity can be stolen and your home invaded. your savings can also be rob"
1923,solar panels can be retrofitted with a variety of solar energy technologies.,"cellulosic ethanol, algal biofuel. biohydrogen, and renewable diesel a"
1924,"the internet of things makes everything from your car to your vital signs vulnerable. security concerns are almost unthinkable,",there's lots of potential for viruses to reek havoc on the coming Internet of Things. but it
1925,delay gives marketers a chance to optimize the Internet of Things.,"physical items are no longer disconnected from the virtual world, but can be controlled remotely."
1926,the goal is to accelerate the commercialization of nanotechnology enabled solutions.,green nanotechnology described as the development of clean technologies to minimize potential environmental and human health risks.
1927,nanotechnology will have the greatest impact in the short term. new opportunities to traditional and new industries abound,"sally kohn: nanotechnology holds tremendous potential -- for improvements in health care, clean water, energy"
1928,companies have developed nanotech solar cells that can be manufactured at significantly lower cost.,innovative R&D could provide value-added materials and processes to existing manufacturing process.
1929,wide range of potential products and applications gives nanotechnology its enormous growth prospects.,if nanotechnology solutions can be commercialised it can transform entire industries and substantially improve the way we live.
1930,"we help our customers in assessing risks, delivering sustainable solutions and responding to emergencies.",nanotechnology will have the greatest impact in the short term. new opportunities to traditional and new industries are the areas where
1931,How Will Medical Nanotechnologies Reduce Adverse Clinical Reactions and Decrease Total Patient Care Cost?,collaboration among government research institutions and industries could lower the R&D development cost for industry.
1932,"""nanotechnology will help drive our innovation economy,"" says cnn's john av","the versatile opportunities of nanotechnology are recognized in the last few years. the opportunities include improved efficiency, resource conservation and"
1933,"Progress Partners has access to experts who help them solve business and technical challenges. through award-winning empowerment programs, progress","voting secure is more difficult than keeping control of nuclear weapons, says Jefferson."
1934,aaron carroll: this investment has already yielded many discoveries in the field. he says,"nanotechnology is believed to make more advanced and powerful computers, improved medical treatments and extraordinary items available."
1935,aaron carroll: this investment has already yielded many discoveries in the field. he says,the versatile opportunities of nanotechnology have been recognized in the last few years.
1936,if nanotechnology solutions can be commercialised it can transform entire industries and substantially improve the way we live.,"we help our customers in assessing risks, delivering sustainable solutions and responding to emergencies."
1937,wide range of potential products and applications gives nanotechnology its enormous growth prospects.,"e-learning provides the ability to create materials, devices and systems with fundamentally new functions and properties."
1938,some people fear that certain products created by nanotechnology might have health risks. others fear a negative environmental impact,plurality of respondents never believed nanotechnology risks would be more likely than benefits. john sutter: risk
1939,"Influenza, acne, AIDS and vaginitis are the remaining communicable diseases.",the report calls for a significantly revamped national strategic plan. it will minimize potential risks so that innovation will
1940,aaron carroll: this investment has already yielded many discoveries in the field. he says,"nanotechnology will have the greatest impact in the short term, says aaron carroll. he says"
1941,"nanomedicine has the potential to enable early detection and prevention of illnesses. it can also essentially improve diagnosis, treatment","nanotechnology is believed to make more advanced and powerful computers, improved medical treatments and extraordinary items available."
1942,there is demand for diagnostic tools that improve accuracy and reduce time investment.,"nanotechnology will enable and improve upon other technologies, including RNA interference, gene delivery, and proteomics."
1943,"aaron carroll: nanotechnologies have the capacity to transform medicines, materials, and consumer products.","nanotechnology is believed to make more advanced and powerful computers, improved medical treatments and extraordinary items available."
1944,collaboration among government research institutions and industries could lower the R&D development cost for industry.,the versatile opportunities of nanotechnology are recognized in the last few years.
1945,computers placed in virtual building will work and behave like real computers.,"the improvements consist of new technological solutions in terms of processes, procedures and technological improvements. the necessary equipment upgrade is also"
1946,"nanotechnology is believed to make more advanced and powerful computers, improved medical treatments and extraordinary items available.",nanotechnology will have the greatest impact in the short term. new opportunities to traditional and new industries are the areas where
1947,"nanotechnology enabled testing will be faster, more comprehensive, and less invasive than traditional screening methods.",innovative R&D could provide value-added materials and processes to existing manufacturing process.
1948,"""nanotechnology will help drive our innovation economy,"" says s.e. cupp.","nanodevices will have enormous impact on our ability to enhance energy conversion, produce food, control pollution, and improve"
1949,"it may be ""very difficult to detect its presence,"" he says.",lack of data on nanotechnology's adverse effects is not surprising. aaron carroll: the lack
1950,there is demand for diagnostic tools that improve accuracy and reduce the time investment of patients and medical professionals.,the report calls for a significantly revamped national strategic plan. it will minimize potential risks so that innovation will
1951,the goal is to accelerate the commercialization of nanotechnology enabled solutions.,private investors are valuable resources that have the unique ability to partner with a company and.
1952,many governments are also increasingly focused on lessening dependence on fossil fuels.,Staples makes it easy to make more happen with more products.
1953,nanotechnology will have the greatest impact in the short term. new opportunities to traditional and new industries are the areas where,the report calls for a significantly revamped national strategic plan. it will minimize potential risks so that innovation will
1954,fast-paced growth of the global nanotechnology industry in near future.,"bavaria invests in nanotechnology research, but also offers attractive environment for companies. companies already using or harness"
1955,novel nanotechnology applications with more radical capabilities are foreseen across the economy. new applications include in aerospace,"innovative R&D could provide value-added materials and processes to existing manufacturing process. to lower the cost,"
1956,nanotechnology in electronics - Nanotechnology increases the capabilities of electronics devices while reducing their weight.,green nanotechnology describes the development of clean technologies to minimize potential environmental and human health risks.
1957,"""nanotechnology will help drive our innovation economy,"" says a spokesman. the technology will improve",novel nanotechnology applications with more radical capabilities are foreseen across the economy. new applications include in aerospace
1958,"""nanotechnology will help drive our innovation economy,"" says cnn's john av",surgeons now only have to make small incisions to protect the body. this allows faster recovery time and also
1959,if nanotechnology solutions can be commercialised it can transform entire industries and substantially improve the way we live.,potential applications include active and catalytic filtration of hazardous gases.
1960,How Will Medical Nanotechnologies Reduce Adverse Clinical Reactions and Decrease Total Patient Care Cost?,fast-paced growth of global nanotechnology industry in near future.
1961,"""nanotechnology will help drive our innovation economy,"" says cnn's john av",there is demand for diagnostic tools that improve accuracy and reduce the time investment of patients and medical professionals.
1962,same features that give rise to new opportunities may also generate new risks.,nanotechnology may also entail new risks to human health and the environment.
1963,negative gas pressure can occur if too much gas is removed.,hacking of Dogewallet and Instadoge ruined many shibes' holiday. campaign
1964,"new technologies often do provide solutions to pressing issues, but they can also exacerbate other social problems.","nanomaterials are conceived to have certain human health risks. research has been conducted to date, but they could"
1965,the goal is to accelerate the commercialization of nanotechnology enabled solutions.,"nanotechnology will enable and improve upon other technologies, including RNA interference, gene delivery, and proteomics."
1966,"nanotechnology will enable and improve upon other technologies, including RNA interference, gene delivery, and proteomics.","nanotechnology is believed to make more advanced and powerful computers, improved medical treatments and extraordinary items available."
1967,"nanotechnology will enable and improve upon other technologies, including RNA interference, gene delivery, and proteomics.",innovative R&D could provide value-added materials and processes to existing manufacturing process.
1968,private investors are valuable resources that have the unique ability to partner with a company and. he company's,"nanotechnology holds tremendous potential -- for improvements in health care, clean water and energy. nina dos"
1969,How Will Medical Nanotechnologies Reduce Adverse Clinical Reactions and Decrease Total Patient Care Cost?,the goal is to accelerate the commercialization of nanotechnology enabled solutions.
1970,if nanotechnology solutions can be commercialised it can transform entire industries and substantially improve the way we live.,the global nanotechnology industry will see fast-paced growth.
1971,some people fear that certain products created by nanotechnology might have health risks. others fear a negative environmental impact,"new technologies often do provide solutions to pressing issues, but they can also exacerbate other social problems."
1972,"nanotechnology enabled testing will be faster, more comprehensive, and less invasive than traditional screening methods.","advanced technologies will eventually allow us to 'upload' our minds, thus enabling immortality."
1973,"""nanotechnology will help drive our innovation economy,"" says a spokesman.","nanotechnology is believed to make more advanced and powerful computers, improved medical treatments and extraordinary items available."
1974,surgeons now only have to make small incisions to protect the body. this allows faster recovery time and also,aaron carroll: this investment has already yielded many discoveries in the field. he says
1975,So it can be anything you want.,organic crop improvement association has added a clause to their organic standard. the new clause regulates the use of nano
1976,there is demand for diagnostic tools that improve accuracy and reduce time investment.,nanotechnology will have the greatest impact in the short term. new opportunities to traditional and new industries abound
1977,there is demand for diagnostic tools that improve accuracy and reduce time investment.,"nanotechnology is believed to make more advanced and powerful computers, improved medical treatments and extraordinary items available."
1978,"aaron carroll: nanotechnologies have the capacity to transform medicines, materials, and consumer products.",collaboration among government research institutions and industries could lower the R&D development cost for industry.
1979,the biogas production infrastructure is located next to the biomass bus dept.,cloud-provider fails to execute the request at all or in part.
1980,"ie: it provides the ability to create materials, devices and systems with fundamentally new functions.",the goal is to accelerate the commercialization of nanotechnology enabled solutions.
1981,if nanotechnology solutions can be commercialised it can transform entire industries and substantially improve the way we live.,innovative R&D could provide value-added materials and processes to existing manufacturing process.
1982,"nanotechnology enabled testing will be faster, more comprehensive, and less invasive.",fast-paced growth of global nanotechnology industry in near future.
1983,private investors are valuable resources that have the unique ability to partner with a company and. he company's,researchers are developing customized nanoparticles the size of molecules. they deliver drugs directly to diseased cells in your
1984,wide range of potential products and applications gives nanotechnology its enormous growth prospects.,companies have developed nanotech solar cells that can be manufactured at significantly lower cost.
1985,the goal is to accelerate the commercialization of nanotechnology enabled solutions.,advanced technologies could eventually allow us to 'upload' our minds. this will enable immortality and survival without
1986,Nanotechnology Development Finance Nanotechnologies has vast new applications for solving major problems.,global nanotechnology industry will see fast-paced growth in near future.
1987,fast-paced growth of global nanotechnology industry in near future. rising application of nanotechnologies in consumer goods and,nanotechnology will have the greatest impact in the short term. new opportunities to traditional and new industries are the areas where
1988,new nanotechnology applications with more radical capabilities are foreseen across the economy. new applications include in aerospace,"aaron carroll: nanotechnology holds tremendous potential -- for improvements in health care, clean water, energy"
1989,nanotechnology increases the capabilities of electronics devices while reducing their weight and power consumption.,the versatile opportunities of nanotechnology have been recognized in the last few years.
1990,"""nanotechnology will help drive our innovation economy,"" says s.e. cullen. """,fast-paced growth of global nanotechnology industry expected in near future.
1991,"he says it may be ""very difficult to detect its presence"" unless one has the special tools for nanotechnology",aaron carroll: both frames including health risks and multiple kinds of risks about nanotechnology increased the percentages
1992,nanotechnology increases the capabilities of electronics devices while reducing their weight.,the global nanotechnology industry will see fast-paced growth.
1993,bob greene: the stronger we can build materials the less likely natural disasters will be to include loss of life,innovative R&D could provide value-added materials and processes to existing manufacturing process. steven ger
1994,"smaller, thinner arms coupled with longer instrument shafts permit greater range of motion.",3Embryos are human beings. overriding objection to embryonic stem cell research is that
1995,nanotechnology in electronics - Nanotechnology increases the capabilities of electronics devices while reducing their weight and power consumption.,if nanotechnology solutions can be commercialised it can transform entire industries.
1996,lack of data on nanotechnology's adverse effects is not surprising. aaron carroll: the lack,"aaron carroll: nanotechnology includes ethical issues, potential risks, and possible disasters. he"
1997,nanotechnology has potential applications in many sectors of the global economy.,innovative R&D could lower the cost of manufacturing by providing value-added materials.
1998,"nanotechnology will enable and improve upon other technologies, including RNA interference, gene delivery, and proteomics.",collaboration among government research institutions and industries could lower the R&D development cost for industry.
1999,rapid Development The current age is characterized by accelerating technological development. nanotechnology is developing extraordinarily rapidly. the,the goal is to accelerate the commercialization of nanotechnology enabled solutions.
2000,"nanotechnology enabled testing will be faster, more comprehensive, and less invasive than traditional screening methods.","nanotechnology is believed to make more advanced and powerful computers, improved medical treatments and extraordinary items available."
2001,the goal is to accelerate the commercialization of nanotechnology enabled solutions.,"the versatile opportunities of nanotechnology have been recognized. the technology has improved efficiency, resource conservation and more sustainable production mechanisms"
2002,"nanotechnology is believed to make more advanced and powerful computers, improved medical treatments and extraordinary items available.","sally kohn: nanotechnology holds tremendous potential -- for improvements in health care, clean water, energy"
2003,Smart Energy Savings State-of-the-art energy saving products come standard.,drones have seen a large increase in the park.
2004,the goal is to accelerate the commercialization of nanotechnology enabled solutions.,"near and medium term applications are seen in informatics, drug delivery, tissue engineering, medical diagnostics and implants"
2005,"some people fear that certain products created by nanotechnology might have health risks. others fear negative environmental impact, or health","nanomaterials are conceived to have certain human health risks. research has been conducted to date, but these risks"
2006,nanotechnology may also entail new risks to human health and the environment.,"""we also need to establish a parallel R&D efforts on the health and environmental risks of nanotechnology products"""
2007,aaron carroll: this investment has already yielded many discoveries in the field. he says,"near and medium term applications are seen in informatics, drug delivery, tissue engineering, medical diagnostics and implants"
2008,"nanotechnology enabled testing will be faster, more comprehensive, and less invasive.","nanotechnology will enable and improve upon other technologies, including RNA interference, gene delivery, and proteomics."
2009,"potential dangers of molecular nanotechnology threaten the economy, environment, human rights.",aaron carroll: nanotechnology has potential risks and ethical issues. he says it could cause disruption
2010,collaboration among government research institutions and industries could lower the R&D development cost for industry.,"nanotechnology is believed to make more advanced and powerful computers, improved medical treatments and extraordinary items available."
2011,there is demand for diagnostic tools that improve accuracy and reduce time investment.,nanodevices will have enormous impact on our ability to enhance energy conversion. aaron carroll:
2012,collaboration among government research institutions and industries could lower the R&D development cost for industry.,novel nanotechnology applications with more radical capabilities are foreseen across the economy. new applications include in aerospace
2013,edwards university is located in a region of California with limited access to higher education. our institution,amazon's new home automation storefront is a good example. many competing manufacturers are developing disparate smart home
2014,the goal is to accelerate the commercialization of nanotechnology enabled solutions.,if nanotechnology solutions can be commercialised it can transform entire industries and substantially improve the way we live.
2015,cnn's john defterios: the nano world promises pollution-free energy.,"nanodevices will have enormous impact on our ability to enhance energy conversion, produce food, control pollution, and improve"
2016,nanotechnology can enable sensors to detect very small amounts of chemical vapors.,the goal is to accelerate the commercialization of nanotechnology enabled solutions.
2017,companies have developed nanotech solar cells that can be manufactured at significantly lower cost than conventional solar cell.,the report calls for a significantly revamped national strategic plan. it will minimize potential risks so that innovation will
2018,"near and medium term applications are seen in informatics, drug delivery, tissue engineering, medical diagnostics and implants","nanotechnology is believed to make more advanced and powerful computers, improved medical treatments and extraordinary items available."
2019,the number of research studies dealing with adverse effects of nanotechnology is small. but growing.,lack of data on adverse effects of nanotechnology is not surprising. aaron carroll: little time has
2020,a number of improved and innovative solutions are now on the market.,collaboration among government research institutions and industries could lower the R&D development cost for industry.
2021,therapeutic cloning may not always produce matched tissues.,it is very powerful... are will matured these days and can be used to run online shopping portal.
2022,concerns about nanotechnology's potential adverse effects relate to exposure and toxicity.,lack of data on nanotechnology's adverse effects is not surprising. nasa says the technology has
2023,the goal is to accelerate the commercialization of nanotechnology enabled solutions.,"robert kaplan: nanotechnology holds tremendous potential -- for improvements in health care, clean water, energy"
2024,"julian zelizer: nanotechnologies have the capacity to transform medicines, materials, and consumer products.",new nanotechnology applications with more radical capabilities are foreseen across the economy. new applications include in aerospace
2025,novel nanotechnology applications with more radical capabilities are foreseen across the economy. new applications include in aerospace,"nanotechnology is believed to make more advanced and powerful computers, improved medical treatments and extraordinary items available."
2026,wide range of potential products and applications gives nanotechnology its enormous growth prospects.,the report calls for a significantly revamped national strategic plan. it will minimize potential risks so that innovation will
2027,if nanotechnology solutions can be commercialised it can transform entire industries and substantially improve the way we live.,the report calls for a significantly revamped national strategic plan. it will minimize potential risks so that innovation will
2028,if nanotechnology solutions can be commercialised it can transform entire industries and substantially improve the way we live.,nanotechnology will have the greatest impact in the short term. new opportunities to traditional and new industries are the areas where
2029,a number of improved and innovative solutions in the areas of Disaster Relief and Development Cooperation are now also on the market,"the versatile opportunities of nanotechnology are recognized in the last few years. the opportunities include improved efficiency, resource conservation and"
2030,if nanotechnology solutions can be commercialised it can transform entire industries and substantially improve the way we live.,nanodevices will have enormous impact on our ability to enhance energy conversion. edward mcca
2031,"""Internet of Things"" must work together to reach its full potential.","a capable, robust, public health laboratory system is vital to biosurveillance. cdc"
2032,"""nanotechnology will help drive our innovation economy,"" says edward mccaffery.",green nanotechnology is the development of clean technologies to minimize potential environmental and human health risks.
2033,nanotechnology increases the capabilities of electronics devices while reducing their weight.,companies have developed nanotech solar cells that can be manufactured at significantly lower cost than conventional solar cell.
2034,fast-paced growth of global nanotechnology industry in near future.,a number of novel nanotechnology applications are foreseen across the economy. new capabilities and implications are
2035,nanotechnology has potential applications in many sectors of the global economy.,"nanotechnology holds tremendous potential -- for improvements in health care, clean water and energy. john sutter:"
2036,"near and medium term applications are seen in informatics, drug delivery, tissue engineering, medical diagnostics and implants",global nanotechnology industry will see fast-paced growth.
2037,nanotechnology in electronics - Nanotechnology increases the capabilities of electronics devices while reducing their weight and power consumption.,46% of those who have heard a lot about nanotechnology feel that benefits will outweigh risks.
2038,nanotechnology can improve competitiveness and overcome problems of a slower economy.,the report calls for a significantly revamped national strategic plan. it will minimize potential risks so that innovation will
2039,green chemistry can be applied to produce safer and more sustainable nanomaterials.,innovative R&D could provide value-added materials and processes to existing manufacturing process.
2040,nanodevices will have enormous impact on our ability to enhance energy conversion. nicolaus mills,nanotechnology will have the greatest impact in the short term. new opportunities to traditional and new industries are the areas where
2041,"""nanotechnology will help drive our innovation economy,"" says john avlon. ""it",nanotechnology has potential applications in many sectors of the global economy.
2042,aaron carroll: nanomaterials are inherently difficult to capture margin and attract VC funding.,"nanomaterials are conceived to have certain human health risks. research has been conducted to date, but these risks"
2043,a few drawbacks can keep you from shopping online.,Amarr drones do EM damage and have the second highest speed and tracking.
2044,"bavaria invests in nanotechnology research, but also offers attractive environment for companies. companies already using or harness",green nanotechnology describes the development of clean technologies to minimize potential environmental and human health risks.
2045,"aaron carroll: nanotechnologies have the capacity to transform medicines, materials, and consumer products.",fast-paced growth of global nanotechnology industry expected in near future.
2046,"aaron carroll: nanotechnologies have the capacity to transform medicines, materials, and consumer products.",innovative R&D could provide value-added materials and processes to existing manufacturing process.
2047,there is demand for diagnostic tools that improve accuracy and reduce the time investment of patients and medical professionals.,aetna: through developing and applying knowledge we support our customers in assessing risks.
2048,Nanotechnology Development Finance Nanotechnologies has vast new applications for solving major problems.,a number of improved and innovative solutions are now on the market.
2049,aaron carroll: this investment has already yielded many discoveries in the field. he says,fast-paced growth of global nanotechnology industry in near future.
2050,wide range of potential products and applications gives nanotechnology its enormous growth prospects.,"nanotechnology is believed to make more advanced and powerful computers, improved medical treatments and extraordinary items available."
2051,"geothermal energy can be used for home heating, agriculture and tourism.","Cinnamon P. Carlarne, ""The Collateral Damage of Climate Change,"" 49 COLUM."
2052,concerns about nanotechnology's potential adverse effects relate to exposure and toxicity.,"he says it may be ""very difficult to detect its presence"""
2053,"e-learning provides the ability to create materials, devices and systems with fundamentally new functions.",cnn's john o'brien explains how he and his team work together to
2054,"near and medium term applications are seen in informatics, drug delivery, tissue engineering, medical diagnostics and implants",innovative R&D could lower the cost of manufacturing by providing value-added materials.
2055,Netflix is attempting to leverage net neutrality regulations to gain an anticompetitive price advantage. aar,"broadband providers would become a common carrier, says bob greene. he says problems that affect all"
2056,"Internet service providers say they can't bear the costs of network infrastructure investments. they claim they ""cannot bear","net neutrality is a key issue for big ISPs, says hastings."
2057,"blockade of users threatens the free flow of information, says cnn.","providers want unequal, sometimes restricted access and different tiers or speeds. that would benefit those firms while"
2058,"aaron carroll: net neutrality regulation is unnecessary, unjustified and unwarranted.",aaron carroll: net neutrality overreach by the FCC would do more harm than good
2059,it protects your ability to access and send any lawful information on the Internet.,broadband providers have invested over a trillion dollars in Internet infrastructure. more facilities-based broadband competition than anywhere else in
2060,"Internet service providers say they can't bear the costs of network infrastructure investments. they claim they ""cannot bear",groups say plan provides weaker protections for mobile broadband users than wired users. many say genachowski'
2061,blockade of users threatens the free flow of information.,high cost of net neutrality could hamper deployment of new technologies. high costs of nativity could seriously hamper
2062,telecom companies complain that government regulation may hinder return on investments. they also complain of deterring them from expanding the,will libraries and content providers be saddled with taking on added costs to ensure reliable access?
